plateifu	first_data	vlass_data	mangaid	objra	objdec	z_1	ra	dec	z_2	flux	lum	Mr01	NYU_mstar	is_agn	selection	ref	GAU	ELPETRO_TH50_R
8329-12701	1	1	1-266039	213.4168201	43.86656476	0.0350445	213.4168177	43.86658991	0.0350417	3.6	22.007	-20.996952	10.37962077	0	0	L10	1	11.157239
8329-3701	1	1	1-569225	213.4321862	43.66248131	0.0893362	213.4321711	43.6625073	0.09091	46.6	23.977	-21.196411	10.73444342	0	0	L10	1	18.259348
8331-12704	1	1	1-250997	205.2510318	42.43141163	0.0279313	205.2510345	42.4314196	0.02793	3.4	21.781	-20.603971	10.39457324	0	0	L10	1	10.544967
8331-3701	1	1	1-575738	204.111415	43.01507992	0.0619815	204.111418	43.01509495	0.0634504	5.1	22.689	-21.966864	11.03222922	0	0	L10	1	8.186371
8331-9101	1	1	1-285879	203.9881894	41.60464728	0.062122	203.9881885	41.60467487	0.0621195	6.1	22.748	-21.730307	10.94671517	1	0	L10	1	6.897475
8332-12704	1	1	1-251269	209.1635744	43.58564082	0.103091	209.1635525	43.58561777	0.1026581	1.8	22.675	-20.972172	10.60604958	0	0	B12	1	6.3623867
8333-3704	1	1	1-569263	216.7315095	42.09604705	0.0992554	216.7315394	42.09606522	0.1296727	225.4	24.989	-22.896145	11.39176222	0	0	L10	1	4.8384395
8333-6103	1	1	1-265883	214.4646542	43.41824045	0.106992	214.4646643	43.41826001	0.1070103	7.8	23.35	-21.661686	10.89310317	1	1	L10	1	4.1099696
8333-9102	1	1	1-266328	215.0726323	43.06279867	0.136102	215.0726132	43.06281647	0.1361151	11.7	23.749	-21.928015	11.01206111	1	1	L10	1	4.137397
8334-3702	1	1	1-251458	212.3760821	41.11092989	0.077111	212.3760734	41.11092545	0.077114	3.7	22.726	-21.951193	10.82473133	0	0	L10	0	6.612453
8335-6103	1	1	1-251739	215.9647258	40.258831	0.0821963	215.9647526	40.25883897	0.0821817	12.1	23.299	-22.106392	11.10039564	1	0	L10	1	7.5653086
8336-6104	1	1	1-261008	211.2431316	38.63421382	0.0650357	211.2431284	38.63423371	0.0650183	11	23.045	-21.660322	10.91797594	1	0	L10	0	5.8815455
8438-12702	1	1	1-505218	149.7509273	17.81714067	0.0254388	149.7509461	17.81714	0.02544	8.4	22.0913	-20.558264	10.1180066	0	0	B12	0	11.513299
8438-12703	1	1	1-474943	149.3183879	19.11421962	0.0903881	149.3183758	19.11422334	0.090388	288.5	24.763	-21.356253	10.7706232	1	1	L10	0	5.8814154
8438-3702	1	1	1-474803	149.5857759	18.13560602	0.109019	149.585771	18.1355954	0.1090168	3.4	23.007	-22.168774	11.07430835	0	0	L10	0	4.451969
8439-6102	1	1	1-155975	142.7781675	49.07974566	0.0339319	142.77811	49.07987153	0.0339323	8.9	22.371	-20.593142	10.37470813	0	0	L10	0	5.354486
8439-6104	1	1	1-585632	143.5103548	50.02748593	0.0378229	143.5102842	50.02758814	0.0387089	8.5	22.468	-20.671673	10.45869647	0	0	L10	0	5.5781026
8440-6104	1	1	1-216976	135.7589657	40.43398525	0.0287631	135.758958	40.43397738	0.0287245	15.5	22.465	-20.730978	10.34609778	0	0	L10	1	5.4798937
