plateifu,300kpc1500cz_count,0th_kpc_1500cz,1th_kpc_1500cz,2th_kpc_1500cz,3th_kpc_1500cz,4th_kpc_1500cz,5th_kpc_1500cz,6th_kpc_1500cz,
1724,1,0.178494268,1053.743004,1239.030885,4630.047393,4832.848817,5103.27035,5254.599219, 
1729,1,58.45375804,532.2750498,533.2431889,650.5088923,765.8233343,860.0614386,1024.586207, 
1743,1,0.195090487,684.2141358,712.335869,714.9193459,749.5330793,884.0961231,903.8095107, 
1773,1,0.298271309,6321.754451,8607.897283,8799.319385,15823.49708,19444.07493,24937.16016, 
1796,1,0.124262006,412.2824419,427.5853154,502.7153007,629.4517611,757.5280522,785.3084091, 
1830,2,0.089863307,270.4905246,678.9307606,769.234479,799.2842977,813.5175558,1017.419747, 
1855,0,352.9033152,380.8405719,601.1355674,774.9407136,784.6620746,820.3038389,824.5099657, 
1862,1,0.196704061,2729.290914,3699.2591,4879.26729,6415.888,6702.17118,7271.803921, 
1882,1,0.202383387,487.0282926,1209.43281,1284.679894,2197.359952,2504.304919,2838.874352, 
1893,1,0.126066329,428.1851806,509.1306993,641.3260581,6.45E+02,665.4346483,698.6275833, 
1896,1,0.119707099,376.251942,474.4526372,638.196536,800.1159333,1049.040381,1065.669755, 
1931,1,0.291902862,2285.629206,2917.296603,3007.615869,3016.945517,3109.330382,3501.4272, 
1940,1,0.136204712,4.70E+02,509.0346796,672.8103986,891.1378485,1013.371291,1046.991927, 
1959,2,0.094044877,220.7707189,1352.073167,1753.332765,2192.785897,2833.422398,3106.919753, 
1960,1,0.179189911,374.9850058,512.4509652,822.9725621,938.1813373,1021.595038,1072.905141, 
1967,3,0.095709119,130.5195041,168.8463044,312.1891637,318.2165734,1356.665458,1394.72049, 
1996,2,159.0247554,292.2212513,706.7176981,1066.025355,2068.733607,2160.647294,2485.855078, 
2015,1,0.235210089,561.2466717,1287.269649,2562.07092,3356.951955,3825.206246,4135.949824, 
2041,1,139.8721375,3033.187778,6287.318065,10395.52825,11487.92794,11919.22498,12237.90815, 
2049,2,0.086900799,240.5723163,510.4548737,2002.910752,2949.049512,3031.411329,3214.132534, 
2052,3,0.012089312,88.85320043,161.9420981,1879.617119,2222.963713,2387.100239,2607.272774, 
2057,1,0.084405778,3121.298002,6244.416018,10535.00099,11536.76281,12204.78511,13893.57806, 
2100,1,0.12921194,424.4184026,551.6269712,913.480278,1490.624906,1834.407446,2207.632001, 
2127,1,0.009183133,778.0439982,853.2890409,982.0600434,1234.375156,1378.713108,1488.870294, 
2130,3,0.114532843,26.45105154,115.5513228,305.6668974,441.7280638,1.36E+03,1432.870062, 
2158,4,0.062216663,166.6179651,293.175898,294.2724128,1845.922661,1917.254953,2260.760179, 
2162,1,0.218536376,429.2145324,1269.261065,1546.023204,2117.758489,2302.418785,2331.485589, 
2178,4,0.117351042,159.7424278,198.9783952,243.5609332,403.2487438,517.2384099,599.8580396, 
2206,4,0.177992593,61.00181962,198.0591791,226.6151031,356.3672711,513.9360978,733.5098998, 
2210,4,0.097401885,61.08585899,166.8903903,242.1317113,400.2048817,478.1327983,684.9712428, 
2220,1,0.207189391,1337.965527,2306.259734,4105.415104,5038.159943,5430.414883,5686.67143, 
2221,1,0.187557654,1037.249761,5925.07675,6094.507714,6184.063641,6332.090445,7752.519222, 
2233,0,1563.336484,2561.010385,2770.075488,2819.276405,3050.860651,3206.121926,3735.700386, 
2250,2,0.13413434,97.81231373,1471.195945,1954.137194,2017.391921,2052.838183,2117.45186, 
2257,1,0.042851943,463.1767658,681.7084689,840.0345517,865.797547,1447.677965,1746.918074, 
2262,1,0.218512042,1417.94675,2672.115134,3022.811902,3362.011209,3545.104069,3715.473086, 
2275,1,0.096822894,1003.363237,1370.021725,1447.565459,1932.860579,2143.0107,2262.612044, 
2311,1,0.117543983,1133.010375,1170.624501,1220.199914,1369.563687,1444.742647,1461.171207, 
2323,3,0.180736394,165.0840043,252.440321,420.074022,546.8974909,668.9972026,670.631173, 
2336,1,0.124254081,1075.385715,1217.433782,1282.18804,1298.60712,1407.129015,1476.277612, 
2355,5,0.18436606,14.8809169,6.98E+01,123.6097914,190.1217388,345.0085433,506.4737726, 
2365,1,0.151587477,421.2069666,457.1687406,537.1078951,5.81E+02,691.4921232,778.8331574, 
2366,2,0.08180446,233.4858309,860.3404864,1270.701357,1545.545195,1624.409011,1688.677043, 
2380,1,0.154041588,869.6365699,1008.757643,1511.432043,1513.292119,1920.911085,1997.450993, 
2385,2,0.033747386,124.9474862,336.1214197,2575.52546,2630.087959,3061.527844,3110.434686, 
2398,2,0.156069678,134.6052256,616.0602124,873.23547,989.7500508,1107.587745,1461.989588, 
2432,1,223.9789834,1173.436354,1367.777643,1751.321439,1821.787691,1871.462886,2205.813295, 
2435,1,0.303997535,1786.069149,3403.363364,4677.640484,4799.466315,5634.829177,5719.544618, 
2446,3,0.107898605,152.8125196,177.2710322,331.4505628,446.3972185,454.0032374,454.8345267, 
2448,2,0.044318477,259.7714177,1076.2854,1167.132113,1211.92412,1248.123137,1419.302811, 
2449,0,1394.195309,1517.140599,1525.897149,1774.250717,1870.921086,2159.437401,2203.570832, 
2456,1,0.108281074,489.6121957,551.9249665,819.03937,945.7947446,1948.352485,3770.205007, 
2457,1,0.257744433,1973.566268,2299.637487,3166.464529,3332.748315,3946.860984,4768.51111, 
2469,2,0.197863531,283.7340403,785.3424163,1169.414737,4471.942357,4506.421198,4695.975645, 
2480,5,78.85751936,152.417767,191.979376,220.5359066,290.1653286,349.9735542,472.9311043, 
2482,2,0.013074688,124.2951953,484.4227286,891.1378529,1621.450903,1853.479037,1964.398959, 
2509,2,0.026541261,260.8151593,970.65038,1001.864481,1072.795103,1341.300258,1344.311176, 
2517,1,0.165665797,433.9520299,445.9884937,676.922994,834.5357879,1004.892242,1137.70525, 
2518,1,0.123981655,1664.92388,1982.782415,2418.546764,3173.92728,3849.716711,4111.854603, 
2535,1,0.094246102,504.0213408,788.2787492,1403.021606,2631.06994,4.99E+03,5366.393316, 
2540,1,0.079223847,595.9210475,665.4041692,905.7591709,992.8807611,1033.393619,1198.715699, 
