plateifu "count in aperture" distance(kpc) "nth distance" "nth redsuift difference"
529 1 [0.01635501488087166] "[0.01635501488087166, 1136.7377999505404, 1212.1978351666496, 1414.4585329143881, 1665.440334286926, 1751.1564968320138, 2096.969557267326]" "[inf, -0.0005139931541811229, 349.888357437213, 275.17573879087445, -870.7021624018502, 310.30623794091224, -529.0352751634521]"
560 2 "[0.22066760798510965, 272.281491267855]" "[0.22066760798510965, 272.281491267855, 3121.270947003656, 3176.403946557258, 3629.6473760408694, 4414.121337283115, 4622.122375790259]" "[-338.37190427527, 538.1260084578378, -207.78955169964007, 0.00038185387678749366, -120.82995143836906, -466.78317056060007, -472.501257909538]"
565 1 [0.1468861245738654] "[0.1468861245738654, 938.6738600529334, 1076.2994920627204, 2035.466331188453, 2497.7605575393736, 3035.728458090147, 3288.084538544035]" "[5.912044756412471e-05, -61.23261532634384, -871.3337059756506, 871.1484331032793, 146.70920492237917, 880.7999391324829, 22.608840427459405]"
575 2 "[75.46507019696591, 0.16006737469571777]" "[0.16006737469571777, 75.46507019696591, 844.3485704063933, 1756.7622479229938, 4107.148617470033, 4476.813864972631, 6384.073384070412]" "[inf, -136.3219343978894, 271.7842138538527, -991.8661840761583, 193.90431088689144, -87.37421323983195, -313.08454319980564]"
581 1 [0.04530150172878492] "[0.04530150172878492, 710.6592754652709, 952.7071077046608, 1039.896991490614, 1049.322087000297, 1112.280543528229, 1182.1696635991332]" "[122.8629722441266, 255.90678273324468, -138.60997355328698, -261.2428445371707, 764.515017026184, 852.2362843913564, 3.758956293337939e-05]"
583 1 [0.06559016684931178] "[0.06559016684931178, 1593.9247215654304, 1668.92484937221, 1760.7715644619009, 1901.0336461993822, 2066.3644739510596, 2288.562905854244]" "[inf, -108.8811540865263, -269.51920329001155, -744.9111575180849, -0.0007299024125528623, -872.0671249400933, -558.1485967391392]"
619 1 [0.06049090777101862] "[0.06049090777101862, 1812.8119418342264, 2688.2130637100445, 5261.036121831327, 9919.438910108973, 11391.549413848263, 11660.294254755248]" "[-0.0012746989015206085, 209.68277528895104, 13.346885456275595, -108.48411312203442, -283.08680377300414, 121.78505132199491, -146.25029315947327]"
624 1 [8.63961337033997] "[8.63961337033997, 8816.947450101949, 10709.57204457398, 14514.634357200337, 20690.862673500586, 24501.18241921356, 28550.3472321841]" "[-84.76642491948925, 28.585722261723642, -401.2402234045001, -0.0002472272249383976, 242.31263869550503, -3.797414607379071, 148.61641677626645]"
627 1 [54.63517943758607] "[54.63517943758607, 725.7637188001238, 732.9655690297859, 1295.633591806762, 1691.137494936199, 1780.9200938649908, 1954.3774750877583]" "[-242.64889738070548, -481.1311115052211, 294.2772710567009, -783.3677659425247, -48.05970454290094, -385.1320192513126, -350.0573607980418]"
649 1 [0.07971204367955532] "[0.07971204367955532, 610.8348218953595, 773.7002430883895, 1871.8283066177958, 2150.667662161488, 2398.33832332548, 2464.3078284257076]" "[-313.4736259762017, -741.8410126428721, -333.1072149594692, 283.9190825483533, -347.3019200776336, 0.000410278487430185, -440.7725455819336]"
724 1 [0.09105870778228826] "[0.09105870778228826, 2330.7415842856744, 4804.752561462817, 4851.654222300859, 5094.388010075382, 5326.513786347238, 7917.424177153764]" "[inf, -161.54866289931385, -136.42481660991757, -921.7817777078434, -636.7507587583794, -933.0660657105133, -921.6946662208869]"
727 1 [0.09079277927794582] "[0.09079277927794582, 546.1238931308741, 1627.9700609758308, 1866.4534131251123, 2259.0714516898965, 2719.048175124265, 2823.5820928591493]" "[inf, -798.9754274330508, 125.92296762979814, 564.9961326806325, -3.720759561759537e-05, -710.8856114692162, 554.1228322061677]"
750 1 [0.13733170704976483] "[0.13733170704976483, 849.8920511586207, 2479.8921783997334, 3014.6017407496574, 4096.4044798165405, 4135.522952432008, 4903.674491770697]" "[inf, -48.9474225137898, -225.71003131570603, 321.7208889975032, 359.1587257379523, 334.53967934732947, 0.00029864426764398524]"
758 2 "[218.61180511813515, 0.3614772002850119]" "[0.3614772002850119, 218.61180511813515, 1441.2322789817892, 1496.7034320645039, 1539.962291179547, 1593.8756537570061, 1667.3662412244516]" "[-298.28192716157946, -0.0010276832482572053, 151.66453836371983, 574.7404606047519, 347.2298265810111, 693.4778845821717, -853.6064883697679]"
783 2 "[0.18576966511455598, 241.16890091560566]" "[0.18576966511455598, 241.16890091560566, 820.4380808750012, 843.4613000645852, 1279.2105880257268, 1494.1043842944416, 1871.6373602553917]" "[-18.62692001998195, 63.93690059179297, -0.0006972063905874394, -15.852754204598751, -292.40045450122426, 638.8168738077752, 424.1965062257223]"
787 1 [0.2176770479738487] "[0.2176770479738487, 438.14085467380755, 459.23369570759945, 792.9471690581099, 943.3270432671791, 952.2505637487204, 964.1309048328583]" "[261.2433825851752, 0.0005004584415455179, 384.10631723973887, 517.1501277288569, 456.65678410726025, 122.63337144232528, 614.9026178612484]"
800 0 [] "[918.3349169706446, 1196.4385787498145, 1504.0864353339268, 1982.3812209882446, 2001.1226832099023, 2547.956986259004, 2743.3565377779228]" "[-190.81394540241743, -294.9434431055971, 1.0524550610295433, -347.5744166224041, 190.08884901232634, 94.47840800791596, -123.29584212753558]"
816 2 "[224.6313349317179, 9.349840594757525]" "[9.349840594757525, 224.6313349317179, 547.6960973592745, 847.3297173779865, 1369.8309246202505, 1553.1152997974064, 1793.3617733442563]" "[445.0862184306659, 288.1403560974129, 30.035721128983095, 238.53371471750515, -68.67276173205892, -776.056007492455, 34.65039630980571]"
855 1 [0.1434866199167371] "[0.1434866199167371, 2047.7062735290583, 2645.6129998909237, 2812.6734216277005, 3479.332580060174, 3791.2600393242046, 6014.3534737762]" "[inf, 269.0282530219402, 247.00468221704622, 259.7720991258468, 229.3277512484934, 189.16265487794539, 592.6541279488649]"
872 2 "[0.21531594867736978, 77.42546173781622]" "[0.21531594867736978, 77.42546173781622, 499.4741245407537, 510.20806798211333, 568.2651445184072, 775.0593423466797, 1173.6518540239958]" "[-227.5112884245298, -81.38511949684539, -0.0006544007889300775, -179.57986794763127, 95.20996721476993, 64.74328305870971, 118.73676957663079]"
903 1 [0.16302491751780218] "[0.16302491751780218, 575.5947956090911, 1302.241521800654, 2577.52904526661, 2585.217203022841, 2634.493879614524, 2994.03614958026]" "[inf, -109.81217211948017, -730.5596936598537, -0.0003251132933322774, -510.57191830455935, -583.2027957754252, -214.66089799701848]"
917 1 [0.1388400191235336] "[0.1388400191235336, 2544.0487152857386, 3007.6740641146002, 3029.187575838711, 3735.2714939325106, 3779.051429747369, 3821.931534310593]" "[95.89391633406937, 80.0418593358612, -402.52227398496206, -196.50584096076426, 816.1718957918947, 159.83151413225292, 646.1727121823942]"
1000 1 [0.0633626391809102] "[0.0633626391809102, 536.8854866884607, 672.0879770535034, 699.2726363117928, 1153.6403596050006, 1790.2276526663384, 1950.37858156873]" "[-125.52987229310698, -85.68865196380742, 30.270138942487762, -442.05281059127276, -9.879322032965495, -608.0850711024475, 36.24285986868314]"
