plateifu "count in aperture" distance(kpc) "nth distance" "nth redsuift difference"
61601 1 [0.13566773178965513] "[0.13566773178965513, 408.2607863194055, 436.2809353996743, 907.8418082179294, 909.7069298286746, 1197.6542099085805, 1395.8460501694171]" "[-0.0006768671521190691, 403.72309350231797, 262.70523151487623, -661.0249761716076, 379.3117745036683, -42.66967008073117, -464.53049876011397]"
61638 3 "[287.5216985843884, 0.10924272742874137, 176.78237706836305]" "[0.10924272742874137, 176.78237706836305, 287.5216985843884, 414.7282953527865, 416.5225166143729, 526.0362559701341, 582.3838897445087]" "[-135.7418001335343, -168.38850509137714, -690.4543473051568, 115.43858843579089, -241.81455408420467, 0.0002328233638964436, -153.5393470071038]"
61894 2 "[0.1963505110863701, 244.4781674009606]" "[0.1963505110863701, 244.4781674009606, 1227.8008336063708, 2105.413575694167, 2194.412961243963, 2397.144352342283, 2742.784403587792]" "[-511.04628060708757, 141.94142561866522, 8.964623965667505, -115.18041308666585, -3.0992001638692432, -112.9624206110817, 0.0010753206330719007]"
61897 1 [0.08201213686439364] "[0.08201213686439364, 401.4681319483593, 646.3460430123889, 678.8997919608265, 1017.8487001724878, 1315.194270766587, 1852.211152144331]" "[599.518034033942, -78.31878225311364, 365.2718951661688, 188.14185457952593, 66.46832676609877, -971.5890066671493, 424.48872045967255]"
61989 1 [8.886968924808535] "[8.886968924808535, 2357.422840264533, 3717.165592078261, 3759.6821559396703, 3813.3175930581874, 3920.126192313052, 3928.291038279375]" "[0.001101646709648417, 486.2976271394374, -602.2296448457358, -924.7565748602865, -207.6012071656702, 439.62373915373104, 201.04101177503486]"
62015 1 [0.06945773395915532] "[0.06945773395915532, 484.84038965030106, 485.5712387807584, 598.0152449276528, 1062.7342830573682, 1183.9133787673793, 1263.503158062936]" "[34.62397189712938, -520.7966353094984, 0.0005062737357269857, -234.67783958701375, 882.1472638917904, 526.9535262685608, 835.6498325078677]"
62053 3 "[0.2523416684969339, 252.67504758324864, 253.06905435738682]" "[0.2523416684969339, 252.67504758324864, 253.06905435738682, 3892.8230234588605, 5780.449098182765, 5852.890283451118, 5908.463854247729]" "[-458.3624745477467, 61.20170445087262, -655.9536632437437, -333.426733229193, 268.80401326325244, -676.6727953721612, 0.0003007942707128023]"
62064 1 [0.1826666523315119] "[0.1826666523315119, 2627.6862882625032, 2776.953126803844, 2811.2765979724195, 3161.467847495149, 3353.588446264989, 4501.9744473033825]" "[809.8329283289776, 745.2408775646852, -390.58569820998446, -744.2404662303163, -0.00012697584763726527, -917.8335570837392, -227.92844941140547]"
62185 1 [0.10745208703285013] "[0.10745208703285013, 732.6464008675255, 1399.0424893818215, 1991.2343251350164, 2311.2182545231044, 2783.5588202245285, 4737.105950513454]" "[-322.8259120594671, 81.20609895615671, -526.4434287505558, 0.00032408975455982674, -233.1859583533814, 190.09545765175315, -490.9644836526921]"
62256 1 [15.760917276988325] "[15.760917276988325, 1108.4118517241714, 1942.342359172118, 2642.355348063134, 3151.0469302433316, 3294.435233514626, 4951.175251786336]" "[348.7356776338167, 597.8991002359188, 56.46993801122379, -178.1011937117331, 508.25244564622113, 596.7554827661313, -243.17570809609222]"
62329 1 [0.030963404879071767] "[0.030963404879071767, 301.706128258314, 304.43030684965214, 330.99065267805895, 380.42588801683416, 474.8563978294612, 539.0727280813851]" "[-180.8304580232016, 64.59163789551339, 812.8994135024883, -323.18626310518005, 163.5547543338128, -0.0004128687790886553, -672.8741080271861]"
62331 1 [0.14002334502969127] "[0.14002334502969127, 372.84491939276484, 1427.4945813435713, 1762.3033915495396, 1868.4455881648364, 1953.6981205985148, 2221.4579692537204]" "[511.27321195526247, -474.84668941502446, -216.8515022122579, 860.8181046935451, 0.00025961260325035277, -864.9341616339998, 75.61079666295474]"
62408 1 [0.12711787013066297] "[0.12711787013066297, 311.5956922222636, 467.3433911983303, 776.1985459330431, 920.6940233292329, 2837.0288849595095, 3453.5209196537544]" "[311.343269999484, -0.0021188944480813594, 568.51424851797, 452.32986119673626, 478.44097100497265, 329.25249826658745, 215.8288749935128]"
62424 1 [18.088397511640867] "[18.088397511640867, 300.38008294777546, 326.83095424269294, 394.06069139284165, 472.4565620710264, 625.5800076155922, 786.6515037524418]" "[0.0005383693581094908, -221.01023855070716, -867.1139036790275, -446.4078606087858, -194.22457312552578, 124.63027266962878, -496.0926789641673]"
62603 1 [0.1697454101335587] "[0.1697454101335587, 535.544547824531, 1792.458569116907, 1831.3695568829876, 1864.8010354189532, 2357.73589967972, 3007.286747862897]" "[inf, 0.00015976907865989713, 112.61409293903218, 222.00490109159605, 101.61124204806791, 701.9054331766347, 273.41408016314165]"
62805 1 [0.46909538343414126] "[0.46909538343414126, 3233.654848209064, 3861.970583620617, 4187.596638617071, 4520.721523607258, 4872.024804173852, 5220.684020912099]" "[-0.0003995113268464354, -510.6390015387133, -231.67674951388386, -281.10693429200796, -194.05352166016846, 322.8258366378948, -803.0119552990988]"
62863 1 [0.17561391358264372] "[0.17561391358264372, 356.35423909634983, 447.7067972763032, 482.59083592886714, 604.9328555019997, 897.7379063014974, 969.029794183475]" "[731.2103852566671, -343.3522452810215, 0.001030999739210249, 135.24943219721737, -597.2330899459976, 22.49143002960507, 524.6690496828597]"
63083 1 [0.09702799342219105] "[0.09702799342219105, 376.8551041968917, 947.5758582446597, 1297.6011387396165, 1583.0857240344162, 1666.7418799678699, 1838.2014266627461]" "[253.12731601759015, -77.33569382148266, -477.6554153160381, -0.0007960549670598907, 90.79841051600097, 485.34420396485143, 92.08051291377066]"
63143 2 "[246.82196842600493, 0.029980133960681367]" "[0.029980133960681367, 246.82196842600493, 472.8413705215804, 475.91406637933227, 527.7968008662599, 598.0705777437777, 894.310195382801]" "[531.7499727388904, -172.91494790288942, -275.3535893079652, -283.75649735745924, -106.65884437494117, -397.28510114045577, -0.0008799221529347536]"
63222 1 [0.18829833404342294] "[0.18829833404342294, 2128.5758954435787, 4886.364863939283, 5667.148794722229, 6047.226097418482, 6420.754435747952, 6945.085211838021]" "[0.0004144412526018379, 11.957024432996763, 85.572931794832, 710.0506118792393, 297.33425570241593, -146.44292964406822, -271.2044479887089]"
63297 3 "[0.09373365271809256, 176.71353407340948, 180.20245141923536]" "[0.09373365271809256, 176.71353407340948, 180.20245141923536, 565.7876525922121, 952.2352483527941, 1143.0827934747558, 1718.3044445895023]" "[676.2888291872189, 684.6962044924543, -8.298545624921161e-05, -121.63675593901719, -248.13380313917543, -357.01422732328916, 0.5114177969292193]"
63310 1 [0.22281622391333003] "[0.22281622391333003, 1078.2791065868382, 1244.1061697624145, 1464.0416660780338, 1705.3511625643414, 1711.2495990552754, 1824.1302443147156]" "[31.807396194371233, 0.0005353159036736276, 65.71386727127695, 279.1459448261287, -153.9321630198035, 252.91868636861705, 438.8816083698597]"
63438 1 [0.17196667435512994] "[0.17196667435512994, 770.1762966273409, 2190.950976276475, 2244.0309771358907, 2291.9611623474043, 2580.326290944139, 2717.0870894818504]" "[-618.9247370048904, 133.6068289055383, -336.9738908890927, -2.278156235083373, 19.135634161115256, -54.75724305668417, 428.16873797918913]"
63543 3 "[198.73176717788496, 190.1616937290941, 39.60312655668306]" "[39.60312655668306, 190.1616937290941, 198.73176717788496, 479.3282863815418, 592.1592890639105, 656.9056775036738, 714.1742804669051]" "[-261.81422706756325, -134.7252684816751, -634.7116991937938, -663.0877076628985, 541.8272117797401, 206.91481522227494, -54.689914619508706]"
63650 1 [0.0374231828389256] "[0.0374231828389256, 751.7691330567682, 1051.2906117508583, 1134.884233575711, 1147.9162060176855, 1355.8826919924168, 1542.0892983516035]" "[-5.0080111535007354, -200.8915913423637, 42.84076509218269, -103.48754715779816, 10.053341578487098, -29.105505436320065, -0.00021746743863792687]"
63748 2 "[273.04539555025497, 0.0032828200002180587]" "[0.0032828200002180587, 273.04539555025497, 620.0852030826616, 745.0802559790113, 1067.6784203416044, 1458.2392284222722, 2616.5671119975877]" "[-102.72119719424113, -84.6422132089661, -621.9938877557369, -965.8631320746244, -768.2842283319161, -397.61480000668774, -267.4456685871334]"
64023 2 "[283.7605010739243, 174.86904634151045]" "[174.86904634151045, 283.7605010739243, 536.2367586399891, 1305.6065187383715, 1522.066064542223, 1605.9186579733596, 1778.6225914863965]" "[-726.416350058025, 136.3090132244766, 311.70240814166664, -569.7675602315724, 352.79222645067574, -180.70979046097992, 153.86532828801276]"
64026 1 [0.2498039985999245] "[0.2498039985999245, 1010.196547803858, 1241.3247127090483, 1283.168401277173, 1305.4702585982282, 1319.0907474448074, 1397.6789108136218]" "[0.00010041990586020139, 518.8115468261063, -109.31811482686093, -252.26806492243995, -111.37975335149757, 353.26845081861023, -233.64630936458997]"
64035 2 "[268.12681493795947, 0.10035011518333141]" "[0.10035011518333141, 268.12681493795947, 4265.337622883792, 6629.588641464864, 6647.542920168542, 8642.782467144956, 9549.264677662233]" "[inf, 6.069635345360508e-05, 71.55656316142274, -119.10367825185762, 580.1446948035259, 137.92211445503426, 989.0102765312988]"
64092 2 "[65.08165330246894, 0.028538260524629686]" "[0.028538260524629686, 65.08165330246894, 806.3019381488077, 1950.6964241931612, 2160.183331227781, 2677.411767685363, 3235.9988750974576]" "[-409.3177634025058, -550.8046872427901, 754.2638722932198, 728.1248421365999, 942.4916929553308, 68.24527711586738, -523.9944519110313]"
64164 0 [] "[3500.132580146894, 3917.363180354935, 4191.8349352655905, 4210.317309662628, 4643.734149903453, 4813.058075663583, 5076.085901873127]" "[-100.34561270916488, -24.799850867063075, -723.1369037512096, -150.4391849648806, -129.38054140011994, -375.69832209497713, -384.1012301444712]"
64389 1 [0.15110568755368706] "[0.15110568755368706, 482.8656741868145, 596.0305983513456, 972.6067903495853, 1083.4368617836114, 1368.6948396005096, 1541.2954783043979]" "[239.04015212325015, -0.00046896893521263753, 263.67483390896774, -601.8559659791066, 34.00874899002174, -116.91301897601028, -574.2215219630672]"
64483 2 "[0.15057306823090277, 157.7455339500105]" "[0.15057306823090277, 157.7455339500105, 607.7131934992339, 620.6327996238504, 635.8090861181149, 738.7221387474801, 804.7104687142362]" "[266.9005287263009, 498.24406817612675, 629.3691923243316, 365.0215674573543, 353.6457007119867, -384.99269984281926, -0.00013279686244589602]"
64543 1 [0.18871201537825397] "[0.18871201537825397, 806.8534262236891, 1147.4910940334441, 1352.6885793886843, 1916.317647652698, 2062.6777713769084, 2127.8599409958983]" "[811.059207670281, -0.00010933554697844399, 110.82133746818673, 42.883312153617254, 443.1471929514057, -914.0698764813445, -726.9812060332797]"
64548 1 [0.07944751369890186] "[0.07944751369890186, 413.2629603604902, 502.9034175023405, 650.7729783988249, 704.763496899733, 1171.9053055037148, 1356.6055714102463]" "[522.2457648742356, 192.32105935199644, -860.4860357252797, -0.0010011970690083367, -670.0223535646192, 6.5837337656923935, -354.23874609164807]"
64584 2 "[0.17485492539396066, 147.07802736232918]" "[0.17485492539396066, 147.07802736232918, 351.70713676989544, 1108.4115880866564, 1118.3831020937087, 1654.0514275775881, 1735.7608038178673]" "[-723.0198445296886, -713.7904941680434, -848.5541981175843, -309.888033568919, 40.09911748775805, -143.38001032128963, 0.0010299533304105148]"
64617 0 [] "[9924.399764206237, 12600.460328024337, 12768.768281510018, 13250.918948587077, 14521.454199559244, 15192.804025366686, 17097.285231726382]" "[-207.16796121623622, -54.03936891397343, 488.5669151985694, 530.0409175013352, 907.0683675604511, 362.56796701357257, 124.69553329775226]"
64636 1 [21.63423889410768] "[21.63423889410768, 875.1508716873135, 1033.066132725937, 1647.662832816995, 2131.572631099244, 2628.8478252014293, 2980.5344180409706]" "[220.82984447511754, 194.51100727490805, 177.91961945150516, 707.8746353045227, 255.85759674310407, -162.9208254747418, -8.587422735053584e-06]"
64637 4 "[104.46966522887384, 0.4964296740844092, 103.92478083237467, 258.0754416753824]" "[0.4964296740844092, 103.92478083237467, 104.46966522887384, 258.0754416753824, 361.4277600032267, 509.1117993066682, 875.8499889709136]" "[446.9689590687336, 789.0602356025607, 742.3796467332425, 427.68604966116266, 653.0501673011811, 94.76381553647236, -8.050495070679646e-05]"
64800 1 [0.1490364790665741] "[0.1490364790665741, 436.7359357025931, 537.9909464264348, 590.0159994273704, 740.9079092283351, 1128.50733243873, 1419.9865670516756]" "[-25.163911613433537, -192.27613120008158, 154.35499398090045, -28.911939180432736, -105.56446363245594, -28.279822493030604, -530.7176597932195]"
64990 2 "[0.1734681606486983, 177.7205606754026]" "[0.1734681606486983, 177.7205606754026, 333.0016474405186, 403.3690015068773, 671.5095220521254, 835.5759551044224, 892.3709668181979]" "[838.7261051256443, -0.0011603142832431299, 911.2251985521401, -272.20892165817963, 333.1935764106299, 310.9734463531162, -588.9797926499907]"
65237 2 "[0.020949697766708585, 249.9757620999408]" "[0.020949697766708585, 249.9757620999408, 365.1972721814075, 398.34577493196645, 904.831042326548, 966.4898242015487, 1095.764873379175]" "[318.32040942132784, 395.456514307353, 507.6404741122008, 174.89916384503553, 308.20430879502305, -0.000599312734484676, 186.40458100690256]"
65260 1 [0.15212171103575584] "[0.15212171103575584, 353.3893134268437, 954.8083225598307, 1104.9067566422855, 1763.321214932073, 2019.2657753756364, 3119.313706859936]" "[-45.96798694609658, 187.7677679532264, 40.761549644494494, -128.89812252866284, 68.30218128996535, 331.84570012349826, -103.94179832956746]"
65294 1 [0.03234694485593345] "[0.03234694485593345, 2048.5944082166457, 2312.5938968010255, 2526.6697501598824, 2720.1907892625036, 3789.8923397723306, 4053.6648847062584]" "[86.02841286429054, -460.5045890449058, -607.7140674898695, 150.75448130082376, -121.52252250706367, -114.4999964816492, -78.64133464577012]"
65314 1 [174.53872796800283] "[174.53872796800283, 300.94119050908796, 307.65205107673955, 355.73679150115777, 412.5205126537402, 1091.8495283228788, 1507.2172556315143]" "[129.37785769187425, -137.68250822404258, 227.13481508000706, 179.7830210355497, -159.93167544387512, -30.442683710942504, -184.96059254876755]"
65554 0 [] "[2592.4731621813658, 3533.21280522321, 3638.2036077472258, 3922.676386023001, 4034.022094045091, 4559.3974276563, 4675.533566526523]" "[784.7279224855321, 769.2064424121844, -314.74859332170905, 234.4290239863711, -304.38902725750035, 112.44390508498425, -64.34774087925081]"
65672 1 [77.7954019725364] "[77.7954019725364, 345.00297387810406, 1089.464256068035, 1113.1605261199504, 1184.575078399453, 2161.513618847989, 2562.10206841007]" "[684.5981846605804, 618.9719641921636, -176.5077984156791, 329.8333035885211, 60.225485086094956, -997.180649776909, 2.173496727150307]"
65684 6 "[0.011965303435109929, 177.8723365373601, 249.61609915745362, 140.55991333056036, 263.0386008839918, 232.82935710131824]" "[0.011965303435109929, 140.55991333056036, 177.8723365373601, 232.82935710131824, 249.61609915745362, 263.0386008839918, 309.6108343216366]" "[116.73612252236423, 504.1421244825896, 189.78803884685306, -44.57871592593672, 480.37967438037214, -16.694105588381312, 2.911707279859957e-05]"
65693 1 [0.16305674971395775] "[0.16305674971395775, 2141.435893544003, 2589.57731364691, 3201.384022911022, 3234.533998711149, 3284.446616180621, 3361.7247229266086]" "[576.5305421006785, -147.231896835406, 572.7423092320071, 713.9388614491031, -67.95150919352905, -8.21117355015884e-05, 675.7572266277181]"
65697 1 [11.707630278788695] "[11.707630278788695, 1156.4316348599768, 1293.9671642398637, 1356.0980231078802, 2517.4637640569003, 2703.9691486241986, 2999.4624795375044]" "[-107.03097388006074, 191.98032191198246, -326.50501482509895, 6.427130858255469e-06, 72.79840598829762, 21.99230644183532, -155.7776685297571]"
65790 2 "[0.04948160435132855, 289.01561535738193]" "[0.04948160435132855, 289.01561535738193, 316.7731268297386, 468.1332458727772, 682.1970580649293, 790.6630601194365, 1240.1776044209814]" "[-143.7532471283062, 81.45898381650606, 103.59870327067534, 405.46457548144616, -28.685673742411925, -0.0014246271534724539, -2.1859126846774384]"
65860 2 "[0.05955550338590524, 140.60099000370167]" "[0.05955550338590524, 140.60099000370167, 466.85979728222895, 532.4793672217995, 651.9464771918198, 752.3386167994584, 1036.4491081503686]" "[129.3437419868313, -6.393450717839318e-05, -400.0472828288398, -643.6411543354042, -365.84820650087516, -397.22174357243097, -15.40986261432092]"
65886 0 [] "[390.49518997987406, 2253.294512555439, 3188.216173326953, 4408.886910122289, 5033.189274425484, 6019.370581408459, 6815.355001374664]" "[337.6364981679769, -999.0646992725876, -752.2711558412758, 610.7198416371795, 279.3477452547403, 319.5753832056673, 630.4517102467569]"
65933 4 "[246.7123607940435, 17.73196964714399, 44.73854497327457, 211.3856202306692]" "[17.73196964714399, 44.73854497327457, 211.3856202306692, 246.7123607940435, 309.1242907853252, 516.0529230407283, 571.1472449339115]" "[-37.800849106953784, -223.80844366560999, 458.23429390193394, 413.9425700403067, 90.56686143489803, 533.6203513512822, -56.532052430467054]"
65976 0 [] "[4966.791201875783, 5052.769034780493, 5151.039397383818, 5516.57628738501, 5548.35910341591, 5562.353169813662, 6206.128643679993]" "[-64.69634329109736, 70.80445785576752, -253.83548412444537, -337.21681253688877, 200.23202482225648, -251.6018562537665, -70.10842362175234]"
66119 2 "[127.55460286624674, 12.02169467605563]" "[12.02169467605563, 127.55460286624674, 356.8213245805887, 607.5817451660665, 2684.922557855891, 4133.184924624478, 4529.870113260089]" "[506.105942025272, -490.1032564368715, -0.0006290525069109887, 14.942341402334941, -22.86404393677615, 25.17459067791499, 4.026601998327148]"
66130 1 [0.12287278009928956] "[0.12287278009928956, 349.8981503395095, 1092.536246862827, 1491.2003295671695, 1750.159065499563, 1803.1139971265754, 3319.5423908991797]" "[-0.0007465992299358652, -88.34296251245117, 25.677039402094717, 106.50979841409348, -433.5814207160649, -481.2637916853828, -226.62686398618197]"
66139 0 [] "[5384.387523777328, 7898.092755153144, 8662.891266321438, 8941.2055130215, 10960.438006903209, 11354.158177318852, 13284.89900518196]" "[-219.7297005587313, 639.832845658889, -853.6779628148172, -202.87921190232967, -815.2863669735882, 203.9493012073841, 555.5223280522432]"
66162 1 [0.027873263638211476] "[0.027873263638211476, 350.4364401722595, 802.3857805267896, 1490.3304850843167, 1837.7903677326408, 2145.5485853161226, 3596.0125512775408]" "[-25.67797062692774, -252.30408801387978, 5.193000173725359, 80.83257438639568, -506.94101571308056, -0.00018462560308669053, -114.02018654014897]"
66178 1 [0.1884051366033298] "[0.1884051366033298, 2309.9491100534624, 2628.0912280961184, 2775.124142361788, 3799.2248637236385, 4071.9086101340777, 4134.178183407839]" "[600.2427986280132, 712.3485814573874, 710.0077394489159, 663.601886807691, 714.2516324032058, 837.2173139398207, -1.905952793133478e-05]"
66422 3 "[127.90677744490411, 0.10034410444208122, 299.4266178084515]" "[0.10034410444208122, 127.90677744490411, 299.4266178084515, 301.97364878768, 318.9388946499654, 348.07254496346974, 559.1715362814331]" "[560.7898445105086, 169.66820258740884, 181.43048695440393, 128.67666390470964, -176.31628732501167, -0.00040409723120762105, 171.7253738563041]"
66455 2 "[12.692139758060897, 49.217447266346035]" "[12.692139758060897, 49.217447266346035, 618.3157061171202, 1334.0557707020241, 1339.7061790366085, 1445.3027768085292, 1654.9606092681884]" "[-189.2417478281086, 32.564200613918366, 168.991957327115, 265.45341055025403, 64.3308561907137, 336.8580263201172, 52.240228526728814]"
66488 1 [0.5808079315728922] "[0.5808079315728922, 450.6196261261281, 456.25580585664943, 528.0036716345893, 2136.6531873001254, 2262.0245373831112, 2377.88727840123]" "[494.1340187382914, 873.4822081550426, -425.7096764532111, -256.820605895438, 653.6128150768943, 716.2861795002736, -0.00030695264858717055]"
66498 2 "[0.34348211624194314, 116.09875582640419]" "[0.34348211624194314, 116.09875582640419, 2162.694675636708, 2750.454889064184, 3138.432263300423, 3925.569799202987, 4542.710974588694]" "[-151.43665990071725, -4.071049372680051e-05, 381.20317665285637, -36.055261798992554, -35.04119474570433, 159.9210139465036, 744.6613373975979]"
66670 0 [] "[318.7180966536914, 788.0900385852473, 989.5117270456665, 990.742210581782, 1103.1613057682403, 1219.0884424426526, 1238.9012599642165]" "[-62.272269106236436, -138.0748981534663, -299.9436763136956, 90.04774990684058, 631.3428944592949, -152.4951996865693, -130.31080767498645]"
66690 2 "[216.60094958197067, 0.18712626775085264]" "[0.18712626775085264, 216.60094958197067, 749.4277932936144, 1060.4164991789619, 1563.2664155178163, 1691.541203601112, 1859.7817514135972]" "[326.4001327577679, -148.58530119784191, 38.766937338963004, 9.201545998523974e-05, 580.5423118836133, -493.55795768484484, -76.20235642062141]"
66790 11 "[281.8378759757379, 196.18853268512524, 174.62438496814954, 36.455035099194504, 30.351655769753293, 99.17172042151716, 113.14188010208197, 241.38485496849515, 227.73396608665564, 221.71186193393945, 248.94581313473188]" "[30.351655769753293, 36.455035099194504, 99.17172042151716, 113.14188010208197, 174.62438496814954, 196.18853268512524, 221.71186193393945]" "[-110.50440284132144, -912.1456279304318, -15.639993545717804, -38.01982799598506, -766.6292394114428, 515.3335566163294, -768.9689646059788]"
66807 3 "[199.69346215819422, 73.19482518726713, 19.5955730735256]" "[19.5955730735256, 73.19482518726713, 199.69346215819422, 330.65160786759765, 436.26035079732935, 509.4818477776798, 547.914384416322]" "[300.7981659346385, -496.8348139405386, -596.2446559529737, -560.5401144401716, -512.6310302419798, 582.3648280566795, 162.97439180226755]"
66889 15 "[153.48715609186306, 106.69454818712207, 197.11405682274713, 254.02418392427256, 133.62483652711856, 120.89748053832118, 254.65584223611935, 286.3928737681934, 0.07432955543222156, 88.24605000339251, 104.88967417920611, 75.74371307166575, 189.1999093753014, 238.61329856136086, 179.943300566801]" "[0.07432955543222156, 75.74371307166575, 88.24605000339251, 104.88967417920611, 106.69454818712207, 120.89748053832118, 133.62483652711856]" "[532.5693086263786, 367.1122072919037, 229.77536403534074, -0.00016864926853155394, 166.9110244290184, 958.3847754507984, 227.43563884080461]"
66915 1 [0.1282972355059168] "[0.1282972355059168, 518.6996772164232, 521.2127334258746, 538.5543993748192, 1448.3718812885777, 2738.923032134473, 2906.1339766887754]" "[40.35402904411033, -600.8579910474233, -667.375429036241, -261.06065033678334, -890.7292815926485, 214.42958351759984, -700.0846755744628]"
66944 3 "[63.47141182434312, 149.97422185939737, 52.02538772633572]" "[52.02538772633572, 63.47141182434312, 149.97422185939737, 445.6090491202211, 769.6247430032523, 901.5379073032954, 1009.3033684681143]" "[-501.882703506954, 252.88472390202432, 20.989478368140762, 90.30341845104843, 717.374340493314, 201.51798376002162, 192.0250653096363]"
66990 1 [0.13146101024010917] "[0.13146101024010917, 931.5085999055751, 3254.620222751855, 3435.081442870722, 3679.198632004108, 4670.749246225149, 5145.621634097358]" "[256.2223581027004, 497.6730636673483, 533.1140370914104, 971.7739809861692, 170.12270457164078, 948.423635226092, 407.5528799690666]"
67061 1 [0.20570808398497265] "[0.20570808398497265, 2797.313524039692, 3123.617215852858, 3400.8660960666934, 4058.481753046298, 4619.745756504742, 5187.896408685157]" "[-467.887105464831, -0.00014088223878067324, 874.5768518820852, -492.9796809640378, -16.153737642988595, -104.84216587616505, -117.50236864717307]"
67092 3 "[204.32222949684882, 0.3281504048239321, 215.47734485622527]" "[0.3281504048239321, 204.32222949684882, 215.47734485622527, 755.7916996720147, 1458.4538051591041, 1497.6436599638873, 1585.2627682487412]" "[-121.20391215524779, -217.66536537838684, -575.8990705336104, -0.000563008598555039, -49.799296385384665, -334.417094178773, 146.26185721919728]"
67096 2 "[10.454696815243887, 284.5210869709597]" "[10.454696815243887, 284.5210869709597, 513.2237522591689, 569.2572648755754, 725.1978028296986, 1324.293520858236, 1383.4726352831726]" "[330.25497297849427, -226.5013436947994, 109.17942085017933, 480.39050393404733, -0.00030946860537617147, 236.3599581787653, -436.46236353861616]"
67146 3 "[186.90093453992833, 179.32562523054898, 0.3313978286366194]" "[0.3313978286366194, 179.32562523054898, 186.90093453992833, 776.0034144109948, 2500.1268166475065, 2867.5216702455423, 2892.6094103626756]" "[-278.93672236587855, -381.36196200373024, -482.27726920100304, -0.0012738754973292826, 109.12038211864973, -472.06065532051775, 639.2272846668734]"
67360 3 "[0.053359133588433666, 175.98160741182082, 224.84307103152597]" "[0.053359133588433666, 175.98160741182082, 224.84307103152597, 340.81140404687056, 373.6950463555449, 404.56240414830467, 431.656318571366]" "[-453.1214638602515, 162.0509225149075, -523.6471470630024, -999.8376232548435, 17.928317787222067, 385.49858744188344, -454.11431144876826]"
67367 1 [0.5907776087547053] "[0.5907776087547053, 1267.4342852839702, 2798.544624480893, 3734.264981402394, 4182.9123433353625, 4315.368303637001, 6270.071595003653]" "[132.6655379455511, -0.0007894334222476735, -579.642857269692, 120.72679697677238, 743.1339040250604, 116.12328993530316, 296.14252817266924]"
67422 6 "[181.03673644626653, 201.2860008553695, 63.00248148158896, 50.51200877798317, 0.06762074105495675, 175.1969372180608]" "[0.06762074105495675, 50.51200877798317, 63.00248148158896, 175.1969372180608, 181.03673644626653, 201.2860008553695, 312.55624701533316]" "[-249.86413559675836, -81.18335083792607, -104.85198856957504, -154.73950865422066, -135.10647807792077, -162.64264246765026, -82.80608148597429]"
67529 4 "[80.49399785982543, 0.07119667472588417, 143.48798525667817, 220.887534920409]" "[0.07119667472588417, 80.49399785982543, 143.48798525667817, 220.887534920409, 334.8489994971754, 380.21667963605006, 633.7019099645971]" "[44.905805435640296, -205.5330186806195, -257.9975869210609, -225.53738989041975, -94.89807980408749, -0.0001660904236806554, -377.08457366024186]"
67573 3 "[263.0225851494711, 156.56244401722554, 0.06196949968919946]" "[0.06196949968919946, 156.56244401722554, 263.0225851494711, 344.74240974621506, 412.45016270846816, 488.26292665538097, 567.7769015205351]" "[-320.9053619943259, -512.7639447602255, -29.097516085222153, 890.2637154862138, -355.7801107531709, 92.72789842341116, -4.581388810137445e-05]"
67602 1 [15.504508967180229] "[15.504508967180229, 2598.8047754013187, 4431.915443031339, 4548.6006155853, 4696.202352839307, 4797.362294727527, 5446.531834541161]" "[674.2208967341019, 500.98518633998765, 174.2746713236554, -858.1081305041329, -708.8325462787913, -971.2614848048554, 0.00032396967547533437]"
67708 1 [0.36815119420217746] "[0.36815119420217746, 487.3688529452033, 768.2100341774653, 891.780136040665, 1451.9272389690977, 2349.8362067523312, 2608.637263831422]" "[86.68035712707447, 568.9139135230373, -3.965036166255953e-05, -369.4130522983331, -54.15658100284231, -200.44580476508628, 64.56297395161198]"
67865 3 "[218.90755818917577, 0.1332786088431035, 180.0125142847236]" "[0.1332786088431035, 180.0125142847236, 218.90755818917577, 417.2357460409498, 497.41818631002843, 1554.1365417103223, 1678.126975750475]" "[111.64447382239082, 507.8364510119317, 304.6656598949788, 522.0289225022254, 648.9860970437435, 132.80139701346138, 0.0010519622472888205]"
67872 1 [24.983597687384147] "[24.983597687384147, 641.4736009382427, 806.7695226398129, 1155.6212786341891, 1290.6269829933703, 1623.2476756999956, 2107.805465378573]" "[-458.2510638942138, -194.0932973962442, -265.8508263696746, -276.35781187334817, -151.9045341748611, -476.37025318116105, 757.5617259294672]"
67961 7 "[280.9180306981395, 0.09904367528776907, 220.91865869185716, 61.04600969632579, 237.01421404845442, 235.3988811373671, 184.94448198306154]" "[0.09904367528776907, 61.04600969632579, 184.94448198306154, 220.91865869185716, 235.3988811373671, 237.01421404845442, 280.9180306981395]" "[-848.3162555635363, 39.38330094102618, -282.65558138378117, 4.411389369806616, -272.54059757141175, 452.32078627704675, 96.63453370833244]"
68086 2 "[35.39721305078591, 158.31684817629858]" "[35.39721305078591, 158.31684817629858, 359.6253581641923, 614.6954978841496, 915.4254612212184, 1405.1588756336403, 1624.592687785469]" "[278.35927209739185, 165.18804877370397, 550.3883432116339, 167.98678449566464, 9.959764579430799e-05, 46.845976929394396, 183.77629991349377]"
