plateifu,mangaid,stellarmass_1re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
7962-6103,1-90901,10.16811335,40.64497286,1.282336116,5.420032978,1.62745077,9.656781012,39.99943785,1.28224504,5.259064674,0.49849549,9.329802556,39.66346568,1.279460311,5.243634224,0.252398231
7962-6102,1-90192,11.06081416,39.99754705,1.93690002,-1.844134808,0.076973233,10.82258784,39.83373457,1.921862364,-1.794579387,0.07073695,10.54413994,39.55455401,1.887939453,-1.764368057,0.053800635
7962-12704,1-542308,10.97253501,39.27577837,1.944732785,-1.624161243,0.004866662,10.73093834,39.02924331,1.978473067,-1.934831262,0.003208367,10.43289081,38.7029944,1.982410669,-1.968660712,0.001747132
7962-9102,1-250997,10.59876144,40.36431002,1.525581717,2.575955868,1.149366022,10.35551238,40.12620318,1.642806292,1.25388217,0.647742072,10.10590083,39.94194978,1.608726263,1.538831592,0.510657383
7962-12703,1-250651,11.15099371,40.05077843,1.961583138,-2.331917763,0.012829484,10.93795737,39.89025528,2.008529902,-2.603611708,0.010105569,10.63057365,39.58715719,2.022988081,-2.79236722,0.006686514
7962-12705,1-250642,10.55193427,39.45464375,1.43169117,3.452255726,0.252585915,10.22753831,39.08918729,1.454474807,3.63493228,0.115942775,9.757985766,38.59574958,1.467452884,3.670930624,0.037590875
8314-6101,1-250638,11.20456793,39.53922008,1.913199544,-2.49245882,0.016078062,10.98873457,39.46477746,1.984513402,-2.653777599,0.008474795,10.77308367,39.29373839,2.010190964,-2.743243217,0.004397308
8314-3704,1-250607,9.583026426,nan,1.187702775,6.514965534,nan,9.130887196,39.63410443,1.217725277,6.621888638,0.051035654,8.743723374,39.19638649,1.225692391,6.464488506,0.019942374
8314-3701,1-575738,11.3712137,nan,1.976889372,-2.273990154,0.085906237,11.17102776,40.04914101,1.994260311,-2.31966567,0.076417856,10.95086825,39.88788071,2.014940262,-2.414918661,0.058570558
8314-3703,1-285916,11.35170993,39.13765256,1.809469461,0.146104574,0.018366886,11.13036187,38.94560003,2.004368782,-1.975894809,0.007478093,10.82715337,38.69383076,2.037062407,-2.26951766,0.003652459
8314-12703,1-250628,9.899581829,39.70146355,1.325592995,4.676223755,0.249020939,9.465419325,39.06667941,1.383201718,3.855953932,0.055717304,9.029275867,38.62577888,1.412755847,3.391849995,0.016740621
8314-12701,1-260534,11.12953167,39.67627534,1.594305992,1.255503893,0.07139439,10.97069069,39.48729716,1.934699059,-1.916885614,0.018572916,10.81052012,39.36033368,1.9805125,-2.193229198,0.01347969
8314-12704,1-260514,11.12272249,39.65605093,1.382186294,3.285764933,0.29630671,10.87774829,39.32494992,1.591138244,1.416413188,0.082052198,10.65207222,39.1113239,1.742543817,0.354458511,0.029704774
8314-6103,1-251043,10.18435444,nan,1.617627859,2.356756926,nan,9.903815844,40.29793095,1.67038095,1.580865383,0.407770938,9.550287596,39.9165417,1.705893755,1.362187147,0.15322224
8314-9101,1-250652,10.43238664,38.70043749,1.370997548,3.41161418,2.330016862,10.1296115,38.46106102,1.304754972,3.529599428,0.039811952,9.730568809,38.10970552,1.291314721,3.739037275,0.018393889
8314-6102,1-285879,11.29428468,39.79733797,1.948146701,-2.151489258,0.014986708,11.07967506,39.62401148,2.00200963,-2.402180672,0.011576349,10.85623637,39.40250675,2.0348351,-2.398000002,0.008137653
8314-9102,1-250603,10.45379022,39.39815321,1.401131988,4.033369541,0.151655745,10.05541917,38.87422928,1.465736985,3.590596437,0.044806451,9.685634915,38.50161914,1.484213352,3.501536846,0.019309783
8314-12705,1-250969,9.881649958,39.09107601,1.525190353,2.98622179,0.041709521,9.535640104,38.70874063,1.539146066,3.178184032,0.015515209,9.224678474,38.35250761,1.53857255,3.853920698,0.006291628
8314-1902,1-575737,11.26049657,39.59437948,1.918911219,-1.720911026,0.004406647,11.04108668,39.43439647,1.954283714,-1.87347126,0.00252557,10.82504162,39.26311167,1.974724412,-1.975613713,0.001389423
8314-3702,1-250644,10.88641187,39.17940968,1.933748245,-1.312105656,0.003323363,10.58045248,39.01276138,2.006887913,-2.265127659,0.001465297,10.34313312,38.82706667,2.034521818,-2.400964975,0.000750367
8314-12702,1-457811,9.674878758,40.46196807,1.14465487,3.559384584,0.705288237,9.121884392,40.03212963,1.146198869,3.473346233,0.251466666,8.383094788,39.36137019,1.14465487,3.519293547,0.051933132
8314-1901,1-457781,11.15876177,39.45815936,1.501402378,3.83605814,0.112299102,10.85907257,39.22021138,1.45344007,4.713674545,0.067012591,10.42626697,38.86809143,1.449125648,5.245490074,0.028164988
