MANGAID,plateifu,identified_mangaid,stellarmass_1.0re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
1-180472,7968-6101,1-180472,10.41768889,39.58540857,1.53131485,1.864976883,0.147493625,10.1301801,39.23337278,1.733603954,-0.415625691,0.031962321,9.829843206,38.94087714,1.769475818,-0.59243983,0.011554616
1-180497,7968-6104,1-180497,11.10245152,39.72619587,1.960383415,-1.266190648,0.01002176,10.81063081,39.50292061,1.996235132,-1.561667323,0.002854229,10.41715321,39.14550923,2.000208378,-1.450600266,0.001461843
1-180513,7968-12701,1-180513,10.76907609,40.11701465,1.424209595,5.173892021,0.486569769,10.41148059,39.56240907,1.503006458,3.568310738,0.190815267,10.08476944,39.09330714,1.572195053,2.934049129,0.068813321
1-180514,8616-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-180522,8616-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-180537,7968-6102,1-180537,11.20471189,40.64442802,1.546198845,3.303349018,0.955263493,11.04286193,40.40352904,1.674156189,1.61330533,0.331549918,10.85783212,40.21927918,1.800417066,-0.052970886,0.155016292
1-180540,7968-1902,1-180540,10.21188712,39.57430181,1.454405069,3.863778114,0.314314947,10.04490349,39.39952628,1.387765765,3.828924417,0.265951865,9.81753404,39.19162895,1.333706856,4.200278759,0.187175267
1-180576,7968-3703,1-180576,11.32618066,40.35182766,2.021131277,-2.015117168,0.058796018,11.0346742,39.99779551,2.059625626,-2.074198484,0.024305438,10.74918204,39.69107463,2.066755533,-2.058597803,0.011775594
1-180614,8617-3701,1-180614,10.5607118,40.06508473,1.932184696,-1.74275279,0.063799328,10.1094051,39.70908652,1.917676806,-1.730912447,0.025025429,9.531646026,39.11961531,1.9130373,-1.730912447,0.00534827
1-180618,8617-12701,1-180618,10.88985957,40.25983469,1.381849051,5.184920311,1.168628336,10.56000355,39.63239626,1.473528147,3.809117079,0.306684157,10.24132765,39.22554909,1.529966593,3.31118536,0.11454918
1-180621,7968-12704,1-180621,11.3376195,40.26588583,1.901199341,0.360653788,0.264349277,11.15399957,40.08838574,1.921892405,-0.842779815,0.17708519,10.98492136,39.92929552,1.949786544,-1.232820988,0.127388012
1-180623,8617-9101,1-180623,10.54363515,40.22034337,1.57035172,1.752960801,0.757080952,10.19009262,39.78495024,1.668463588,1.128973484,0.199011656,9.864709615,39.41432866,1.694841027,0.980240703,0.073256865
1-180629,7968-12703,1-180629,11.42692267,40.42943634,1.554017901,2.022688389,0.907861423,11.15337455,40.14935602,1.742839932,-0.116379626,0.249625752,10.88752429,39.90267693,1.817509294,-0.485900283,0.098773894
1-180634,8617-3702,1-180634,10.91517175,38.66913589,1.983866453,-1.858531713,0.00050805,10.58500603,38.40779425,2.021318674,-2.040303469,0.000104999,10.17696056,38.04077862,2.033981085,-2.164787769,1.08E-05
1-180687,8617-6103,1-180687,11.12936641,39.39564314,1.902694106,-0.591139674,0.00632867,10.77127157,39.05134411,1.935369611,-1.154278517,0.00277729,10.36032334,38.7303331,1.959081054,-1.477032065,0.00157031
1-180749,8617-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-180757,8617-1902,1-180757,11.16380186,38.39210914,1.914463401,-1.806743026,0.00068986,10.82763589,38.08411265,1.955196142,-2.071543217,0.000314443,10.51392545,37.81815699,1.977416277,-2.087552309,0.0001346
1-180813,8617-1901,1-180813,11.20984063,39.31801758,2.00365901,-2.009271383,0.003049498,10.92262022,39.05932441,2.043046951,-2.19765687,0.00251981,10.53642513,38.59829358,2.049941778,-2.010144472,0.001146536
1-180886,8617-6102,1-180886,9.851929877,40.58083005,1.201136351,5.520500183,0.177465651,9.557436251,39.5935414,1.246079445,5.73611784,0.040367263,9.269206569,38.99684627,1.266146302,5.888338089,0.017783066
1-180893,8617-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-180900,8617-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-180981,8617-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-180998,10842-9102,1-180998,11.32264126,40.40289957,1.537007809,1.469959855,0.074753557,11.07503428,40.32962074,1.685705185,-0.253328502,0.054873739,10.82927415,40.16925048,1.689517975,-0.711638868,0.036798766
1-181017,10842-6104,1-181017,11.46783015,39.46414805,2.050014973,-1.761806965,0.010239278,11.25040068,39.29736496,2.024172783,-2.153008938,0.006834629,11.00471996,39.0274852,2.041904211,-2.415651798,0.004199112
1-181028,10842-3702,1-181028,10.43976756,nan,1.499704838,2.547822952,0.288239389,10.24880858,39.35033913,1.549980044,1.698889017,0.150255493,9.965696338,38.99878763,1.614616632,0.783040762,0.053709286
1-181037,10842-1901,1-181037,11.01710876,39.18800237,1.444423795,2.690084696,0.110941406,10.65941171,38.79722758,1.583934069,1.338178396,0.035733344,10.36014201,38.48455873,1.623256087,0.97988081,0.015964568
1-181056,10842-3701,1-181056,10.6803905,38.85282562,1.998629212,-2.584176302,0.003529907,10.32842878,38.6282606,2.024615288,-2.859018087,0.001132106,9.914842291,38.26295149,2.033829927,-3.131381512,0.000493214
1-181146,10842-6103,1-181146,11.06381347,39.42422715,1.789450645,-0.19747141,0.036837026,10.84273672,39.2022501,1.919060588,-1.705315471,0.013792401,10.60054962,38.95554796,1.947476149,-2.137611389,0.007997619
1-181160,10842-12702,1-181160,10.73552249,nan,1.628519297,1.154962063,0.026662878,10.52099283,38.96449058,1.816037416,-0.96613884,0.006672603,10.32180078,38.81527071,1.831065297,-0.999249101,0.00449559
1-181172,10842-6102,1-181172,10.85862813,40.638421,1.663302422,0.870326877,0.353503937,10.55086514,40.48522726,1.788317084,-0.372776449,0.160992139,10.21229922,40.2289154,1.813145876,-0.700374305,0.082029196
1-181214,10842-12703,1-181214,10.83030445,39.22357563,1.464967251,3.214599848,0.087203027,10.53740112,38.7461837,1.707849026,0.676928759,0.019983254,10.18344295,38.33592442,1.795489073,-0.430722117,0.005860029
1-1813,10846-12701,1-1813,11.63215423,39.14484548,2.149238348,-1.087428212,0.006023258,11.33498262,38.88601155,2.081011772,-1.649753451,0.00287713,11.11304747,38.74581648,2.060779095,-2.061347485,0.001959456
1-181550,10844-3701,1-181550,11.10988361,38.7348257,1.863065362,-0.719438136,0.000844768,10.73767207,38.53067282,1.882171392,-0.88479954,0.000337492,10.38399579,38.16983837,1.883692384,-1.03028965,0.000195106
1-181573,10844-12704,1-181573,11.2211807,38.53312915,1.914227486,-0.905929208,0.003044935,11.01560428,38.35418734,1.972355962,-1.611606479,0.001958502,10.75301108,38.17600682,1.992934704,-1.782706738,0.001072277
1-181589,10844-9101,1-181589,9.729894805,40.52876212,1.310617566,5.374254227,0.651196127,9.219783179,39.69719065,1.347876549,4.742842197,0.137021305,8.830451961,39.17922897,1.35492003,4.870393276,0.050276424
1-181692,10844-9102,1-181692,11.48985632,39.05341419,1.9701581,-0.764123023,0.002310315,11.28622611,38.84478891,2.006139755,-1.342502713,0.001098866,11.10694546,38.65190862,2.049767494,-1.945306778,0.000728434
1-181700,10844-6104,1-181700,11.21688728,39.94751174,2.052839518,-2.608206511,0.015359341,10.97566799,39.75300057,2.065189362,-2.647661448,0.011321432,10.68021072,39.48409744,2.082478285,-2.772481441,0.008819778
1-181720,10844-6103,1-181720,10.8681095,39.48263691,1.906862974,-1.710127115,0.013402389,10.56348542,39.14048762,1.936064839,-2.15948987,0.007475392,10.20280557,38.74898097,1.936064839,-2.479284763,0.002647163
1-181880,10515-1901,1-181880,9.388177321,41.12827768,1.193564534,6.213253498,2.082186272,8.954995274,40.66065553,1.188853264,6.16769886,0.751363242,8.549606512,40.2379143,1.192001939,6.255689144,0.285934971
1-181975,10515-3702,1-181975,10.64452084,39.01275911,1.890790701,-1.305534363,0.004516235,10.25709401,38.66126775,1.913563609,-1.277400017,0.001683608,9.740197842,38.14260386,1.920371652,-1.221223593,0.000477475
1-181988,10515-6103,1-181988,10.67660778,39.03509716,1.873214006,-1.530294776,0.001917535,10.31521639,38.76162767,1.918579817,-1.467667222,0.000369062,9.925350126,38.47890343,1.918941379,-1.321683168,3.88E-05
1-182089,10518-12701,1-182089,11.02417756,39.45290576,1.943362474,-1.584888935,0.011768747,10.76425987,39.24194967,2.013632774,-2.130687714,0.005795611,10.39043799,38.92769439,2.019047737,-2.159998655,0.001078666
1-182093,10518-6101,1-182093,11.23012535,39.16409353,1.943024158,-1.009480834,0.003765391,10.88802427,38.93119325,1.968101025,-1.254757643,0.002091223,10.50396913,38.59572695,1.97108233,-1.444808483,0.001009195
1-182178,10517-12701,1-182178,9.003824879,40.25079599,1.360816479,4.737071037,0.2130935,8.600333796,39.54253348,1.37995553,4.318228722,0.054868104,8.195560156,39.0724995,1.383071303,3.900075912,0.021226751
1-182226,10515-12703,1-182226,11.3096126,38.71335448,2.005565882,-0.954022288,0.003548161,11.10187717,38.43805582,2.007715225,-1.670460463,0.001545482,10.91474865,38.29949228,2.023130417,-1.864919424,0.000644856
1-182337,10517-1901,1-182337,9.226552542,39.00623676,1.352239966,4.625510216,0.026087603,8.621074729,38.54879315,1.341857076,5.297165394,0.008768484,8.299585286,38.26104767,1.341317654,5.439060688,0.004498776
1-182358,10517-6104,1-182358,9.594828516,nan,1.389621258,4.873588085,0.037018128,9.260547051,38.7798063,1.425380826,3.76360178,0.010883612,8.970591775,38.44996205,1.451189041,3.376300097,0.004237457
1-182424,10518-3703,1-182424,9.731447237,39.0235379,1.234338522,5.677116394,0.025106247,9.123143419,38.4838744,1.23212564,5.953084469,0.007357492,8.52202833,37.87417638,1.23212564,5.954704285,0.001818551
1-182452,10518-3702,1-182452,10.66728518,38.9312457,1.987119913,-2.049053907,0.006146084,10.36601213,38.66347774,2.032424927,-2.263893127,0.003210578,9.948505488,38.26023058,2.038898706,-2.411514521,0.001226544
1-182523,10518-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-182525,10518-1901,1-182525,10.33236398,39.2311761,2.02003336,-1.9480654,0.006445437,9.978084578,38.87574802,2.075169086,-2.297319412,0.002696578,9.520292144,38.43055948,2.096558809,-2.48989749,0.000989457
1-182705,10519-9102,1-182705,10.84645192,39.96769006,1.682486892,0.505770802,0.239142881,10.60206422,39.7541329,1.858640194,-0.77124548,0.089910128,10.30172755,39.5019242,1.886565328,-1.046095967,0.041718094
1-182730,10519-3704,1-182730,10.89319504,39.66775641,1.916173697,-0.953727007,0.006250696,10.50045066,39.28810629,1.937272429,-1.259273171,0.002632587,10.16179084,38.89040119,1.937272429,-1.28233254,0.000866262
1-182750,10519-3703,1-182750,11.17999875,39.29059321,1.930743098,-1.367774963,0.009703857,10.80763967,38.8823616,1.951727629,-1.988906622,0.004260327,10.47881426,38.56230633,1.95205152,-2.057932854,0.002069435
1-182781,10519-3701,1-182781,10.72169758,39.49928151,1.928000689,-0.845032692,0.003850567,10.29197566,39.13824355,1.929491401,-1.019696712,0.001241663,9.942994233,38.86715191,1.929982185,-1.090090871,0.000816622
1-182793,10518-3704,1-182793,10.23503053,38.36297195,1.64819026,2.418610096,0.005671758,9.757877652,37.85715361,1.661002636,2.77733779,0.001870225,9.53581296,37.62917363,1.661002636,2.873898745,0.001109008
1-182803,10519-6103,1-182803,11.1577663,39.22951383,1.926560283,-1.530604482,0.004226284,10.93083355,38.8920643,1.955435395,-1.913328767,0.002668899,10.68906863,38.49509594,1.987993121,-1.94128871,0.001902545
1-182806,10519-3702,1-182806,10.6250757,38.31003716,1.772902012,1.078273296,0.000675543,10.23824162,37.92338556,1.782103777,1.240595341,0.000286549,9.820526558,37.51151496,1.776752234,1.209616661,0.000120737
1-182807,10518-12703,1-182807,10.29928821,38.72577669,1.367426395,4.068553925,0.039115299,9.870439444,38.21688754,1.435032964,2.979470015,0.010003645,9.439181617,37.83016005,1.485224962,2.629101276,0.003253839
1-182818,10518-6102,1-182818,10.53966113,39.88883961,1.416976452,3.277872562,0.678500241,10.17074038,39.41710915,1.539047241,1.928857923,0.173582093,9.80555563,39.04081269,1.588579535,1.332544327,0.057132371
1-182839,10518-9102,1-182839,10.36644019,40.01919267,1.762578011,0.141596898,0.154059568,10.14929574,39.85110117,1.856911898,-1.000863791,0.099988673,9.846226931,39.65160824,1.863160849,-1.187773466,0.065769309
1-182981,10519-12703,1-182981,11.66694236,38.86031894,2.004957676,-0.855683029,0.002711495,11.38292852,38.5710119,2.017491102,-1.807059288,0.000729515,11.16854753,38.38387933,2.017389059,-2.276907682,0.00040162
1-183065,10520-9101,1-183065,10.11448117,38.93099769,1.430721521,3.797156334,0.046517264,9.707113419,38.36789102,1.555828094,2.268560886,0.008662738,9.38099587,37.99715193,1.570067167,2.030914545,0.002988818
1-183175,10519-12704,1-183175,10.68027785,nan,1.441822767,3.765655041,13.09203953,10.41330061,40.71615131,1.564949989,1.805395365,3.206191321,10.17090992,40.39890126,1.697840095,0.296928287,0.956020323
1-183181,10519-1902,1-183181,10.40180718,39.40626953,2.011519194,-1.905344486,0.019890048,9.906226336,38.92218349,2.044570684,-1.92604816,0.009635016,9.675985411,38.68649614,2.05450511,-1.92604816,0.005485722
1-183193,10519-6104,1-183193,10.93586807,39.47409971,1.859952927,-0.402207583,0.041362132,10.50779613,39.10052923,1.944397092,-1.083610177,0.011744011,10.04178514,38.66707619,1.9512918,-1.1450212,0.003802955
1-183195,10519-1901,1-183195,9.854210354,39.78312761,1.734840035,0.602327943,0.049529349,9.469025592,39.40399382,1.752567768,0.615556836,0.019795806,9.151889015,39.07055836,1.761193752,0.615556836,0.009181027
1-1832,11838-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-183449,10520-12703,1-183449,9.358831036,40.08754092,1.366706729,5.614021301,0.182592238,8.921713882,39.40115619,1.37709558,5.243753433,0.052953078,8.52903337,38.8870556,1.392264724,5.373953342,0.019486511
1-183465,10520-1901,1-183465,9.839173261,38.98564554,1.864838004,-0.845780551,0.006241918,9.409328584,38.53639503,1.867575288,-0.88352257,0.002628065,8.954092261,38.10878834,1.870799065,-0.868360341,0.001090718
1-183743,10503-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-183745,10503-6103,1-183745,9.509589446,38.11387276,1.800701261,-0.744416773,0.000721745,9.115655159,37.65164158,1.796276808,-0.704610467,0.00025083,8.273694992,36.83541276,1.775837898,-0.655759394,3.83E-05
1-183760,10503-1902,1-183760,10.06008004,38.7566858,1.799381971,0.270523161,0.003467432,9.717014349,38.48444924,1.844746947,0.157654464,0.002088028,9.360017074,38.14886009,1.858561158,0.146822631,0.000886588
1-1839,10846-3704,1-1839,9.417038627,38.79826916,1.331703663,5.230550289,0.035003957,8.916888898,38.29301127,1.329383731,4.964782715,0.011775614,8.506163313,37.89937214,1.326111794,4.963141918,0.004787223
1-1851,10846-3703,1-1851,9.426539642,38.6930397,1.804385424,-0.461779863,0.001204156,8.976151173,38.45874652,1.768648267,-0.554853201,0.000424426,8.431854961,38.03071634,1.769965291,-0.554853201,0.000125885
1-185287,8252-12704,1-185287,9.899589268,39.59751989,1.38932395,4.035820961,0.141514025,9.651457772,39.47458561,1.352621675,4.196502209,0.119048715,9.408747315,39.36059215,1.239434481,5.33460474,0.096910748
1-185298,8252-12703,1-185298,10.16167418,39.72917727,1.334349036,5.247956753,0.276654575,9.773761972,39.0555463,1.379403114,4.778375149,0.084124655,9.406042973,38.61254539,1.391129375,4.592260838,0.03382288
1-186329,8994-3701,1-186329,10.4659531,38.80971219,1.718458176,1.00024724,0.02612358,10.07525754,38.31374034,1.767894387,0.91815573,0.009638034,9.737084256,37.89598934,1.774108171,0.873901904,0.003889155
1-186604,8994-12703,1-186604,10.21809463,40.02459709,1.424222946,3.927883387,0.92896793,9.845841876,39.57553123,1.445577383,3.452105522,0.344144084,9.493895106,39.17971371,1.451673269,3.430317402,0.156313835
1-186744,9001-9102,1-186744,9.316576154,40.96196949,1.217318892,5.559459686,0.80639104,8.893084825,40.47777806,1.213243365,5.631407738,0.272534042,8.61730514,40.22127904,1.212448716,5.627716541,0.150294326
1-187006,8997-9101,1-187006,11.11289279,nan,2.02169776,-1.809903264,nan,10.85708619,nan,2.037603617,-2.165004253,nan,10.65302607,39.53675448,2.062304974,-2.209327221,0.011285022
1-187034,9000-12701,1-187034,11.25207457,38.72148784,1.889541626,-1.03836894,0.002596079,11.02477468,38.45954221,1.901756287,-1.900667191,0.001099185,10.77749504,38.15666909,1.910681486,-2.078679562,0.000617656
1-187072,9000-3701,1-187072,8.980177976,39.35449197,1.305269599,4.672031403,0.031975276,8.510064171,38.90267509,1.330846071,4.455509186,0.011582537,8.096234913,38.45346672,1.331951618,4.280703068,0.00435383
1-187324,9000-6103,1-187324,9.713396624,41.13524621,1.272783875,5.999660492,1.667496702,9.267174217,40.3979536,1.296577692,5.689342499,0.455755015,8.809611505,39.85267435,1.30722034,5.740970135,0.166231671
1-187355,9000-3702,1-187355,10.98377743,39.08844067,2.03572011,-2.246056318,0.007575338,10.64729935,38.79667673,2.056885958,-2.126857519,0.003856872,10.22697204,38.4006468,2.056885958,-2.086825132,0.00142616
1-187394,8996-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-187404,9000-12704,1-187404,11.27809251,39.40159012,1.730304956,-0.014330985,0.002591919,11.14051172,39.21262466,1.836759329,-1.383935928,0.001380642,10.98844584,39.09531039,1.930413485,-1.695201874,0.001030476
1-187419,8996-6103,1-187419,10.38598629,38.95820076,1.897830248,-1.184528589,0.002536056,9.959119523,38.43972392,1.922440648,-1.467520952,0.000670729,9.683719659,38.1671471,1.920480132,-1.478268266,0.000357691
1-187429,8996-3702,1-187429,11.24354017,40.07714165,2.087808132,-2.097596169,0.016395734,10.89633191,39.71951083,2.102340221,-2.335007668,0.006817641,10.6145088,39.4228007,2.116077423,-2.217704296,0.005291725
1-187430,8996-1901,1-187430,10.08997318,39.75661439,1.776773334,0.176700294,0.020869474,9.802654737,39.4465135,1.830533147,-0.027217088,0.012841658,9.288157581,38.95504297,1.854353189,-0.134323731,0.005618795
1-187436,9000-6102,1-187436,9.689780153,40.9596653,1.231341958,6.445061684,1.075183145,9.38785439,40.36840884,1.265234351,5.595876694,0.383239415,9.070292138,39.9128305,1.306726336,4.992407322,0.159254187
1-187465,9000-3704,1-187465,9.576320042,37.90917212,1.700663686,-0.274858803,0.000379619,9.066804223,37.60206108,1.714241505,0.052337095,4.53E-05,8.666126907,37.25049753,1.724084973,0.052337095,0
1-187495,9000-3703,1-187495,11.22390853,39.05389563,1.968890429,-1.821746945,0.001129538,10.90634029,38.76266735,1.984816909,-1.768869877,0.0003915,10.57991529,38.47536517,1.98370719,-1.768869877,0.000128502
1-187505,9000-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-187554,9000-9101,1-187554,11.25894261,40.22021367,1.854408145,-1.595198631,0.040798103,10.97970832,40.03932588,1.901210785,-1.896424413,0.026354588,10.66632577,39.7144195,1.945644736,-2.080124378,0.014702433
1-187562,9000-6101,1-187562,10.2015333,39.2232033,1.966243744,-1.782345653,0.008987982,9.859191655,38.88891045,2.010237455,-2.059173822,0.004748036,9.463405858,38.53674808,2.018665791,-2.126348019,0.001940848
1-187821,8996-6104,1-187821,8.707063626,40.37018751,1.282664299,5.384504318,0.231936435,8.272600638,39.71448519,1.300673485,5.588373661,0.059577797,7.845960429,39.2221015,1.310723901,5.567099571,0.02064217
1-187866,8995-9102,1-187866,8.765605528,40.24612556,1.316457391,6.359537125,0.138485186,8.393761789,39.9544578,1.279409766,6.707984447,0.06544353,8.047379622,39.55661473,1.277614594,6.965594292,0.025402306
1-187966,9000-6104,1-187966,10.86775922,38.95872691,1.972116113,-1.419409156,0.001674203,10.51917831,38.70940051,1.994849443,-1.763452053,0.000838772,10.08784512,38.31973152,1.998349309,-1.770703793,0.000234238
1-188110,8995-12701,1-188110,11.35891167,39.52331153,1.976708055,-2.886663198,0.008172572,11.15615298,39.34925895,2.005594492,-2.808106899,0.003160088,10.95678703,39.17592919,2.014041901,-2.964929342,0.001194861
1-188165,8995-3704,1-188165,11.17168413,39.42818508,1.983707309,-1.679436088,0.005660544,10.91077577,39.2109466,2.003386259,-2.382996321,0.003791663,10.57910745,38.89944821,2.009243011,-2.497346401,0.001840455
1-188177,8991-6103,1-188177,10.32176274,40.21719057,1.641724825,1.171365142,0.17674284,10.10712917,39.9845134,1.814676762,-0.558899164,0.069057338,9.850587101,39.74531843,1.850381732,-0.838981867,0.035858222
1-188186,8995-6102,1-188186,10.59328979,40.07980145,1.872027278,-1.768667102,0.031337993,10.1606324,39.82200321,1.924287558,-2.202078342,0.010924113,9.817841617,39.5266582,1.947271824,-2.12779808,0.002751392
1-188218,8995-12702,1-188218,9.434466077,40.44765834,1.225739241,6.557476044,0.199586142,8.964968931,40.02848175,1.238950133,6.373214722,0.074273946,8.570272085,39.59679389,1.226507545,6.454481125,0.028347218
1-188303,9000-12703,1-188303,11.0112765,41.00147127,1.8142519,-0.761995018,0.98930234,10.84791825,40.80218968,1.890193939,-1.706317782,0.639170878,10.65723445,40.62631637,1.960169196,-2.008555889,0.439218821
1-188307,8996-9101,1-188307,9.974319885,nan,1.318684697,5.375745296,nan,9.649997654,38.90229113,1.33771944,5.614072323,0.080466873,9.293215228,38.57420395,1.351644874,5.860068321,0.040540543
1-188309,8996-12704,1-188309,9.671959904,39.75554297,1.359266281,4.517245293,0.179016019,9.277797673,39.26005545,1.394020796,4.103549004,0.066636946,8.933064413,38.8688529,1.405365705,3.870946884,0.028328174
1-188330,8996-3703,1-188330,10.29239831,40.71235334,1.256677747,5.102991581,4.213062025,9.917510769,40.28973256,1.305925488,4.109534264,1.282037932,9.6273036,39.97875557,1.325526476,3.921733141,0.527678662
1-188530,8995-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-188545,8995-6103,1-188545,11.34248854,38.73669038,1.998696804,-2.332272291,0.001426155,11.05474046,38.51235167,2.023445845,-2.606384516,0.001040103,10.72058811,38.17752302,2.025216818,-2.807398558,0.000585771
1-188548,8995-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-188593,10510-9101,1-188593,9.031337291,39.79523087,1.420960546,3.760378838,0.135290619,8.626690168,39.36175006,1.415900469,3.451740503,0.050335988,8.293957587,38.98887341,1.425623059,3.444880486,0.020874908
1-188749,8991-3702,1-188749,11.41829674,39.84222051,1.931473136,-1.138832808,0.013598656,11.20376961,39.71089499,2.029919147,-1.955454707,0.009618331,10.98368909,39.50027636,2.064275742,-2.054345608,0.007313185
1-188753,8995-6101,1-188753,10.59081857,39.38724602,1.364067316,4.988964081,0.151002375,10.33727741,39.15380275,1.328267336,5.340882778,0.093678503,9.96968009,38.78396902,1.324081063,5.459251404,0.04022788
1-188756,8995-3701,1-188756,10.12573049,39.19487842,1.945394516,-1.626123309,0.005013104,9.806102599,38.88637887,1.973055482,-2.102151394,0.00228918,9.351833474,38.50719807,1.992746711,-2.260511398,0.0009117
1-188803,8995-9101,1-188803,10.65724643,39.43995007,1.700474501,0.042522356,0.079249681,10.31829995,39.10866577,1.761505604,-0.484614134,0.040658709,9.968179958,38.77616644,1.778588891,-0.633219719,0.021347688
1-188844,8995-6104,1-188844,10.94780415,39.96238517,1.671135545,0.671451092,0.199139423,10.74581608,39.71126829,1.885017157,-1.521025419,0.034475829,10.50813445,39.5154176,1.943867564,-1.747528553,0.015631652
1-188888,8995-12703,1-188888,11.31537686,39.04459521,2.163362026,-2.085760832,0.00638801,11.07694402,38.86356291,2.095904589,-2.3499856,0.004579093,10.83103438,38.65987271,2.091677189,-2.066695213,0.003541376
1-188987,11872-12703,1-188987,11.23841311,39.66043698,1.857811451,-0.586159229,0.024168058,11.06315428,39.53677132,1.935214043,-1.033887982,0.010540697,10.88334048,39.41604897,1.986351252,-1.515944362,0.007154233
1-189066,10510-12702,1-189066,11.13854334,39.64492386,1.972378612,-0.215621442,0.021208578,10.96764419,39.38213855,1.963650107,-1.35501802,0.014605463,10.79471299,39.20947913,1.992449284,-1.375569344,0.011063354
1-189075,10510-3701,1-189075,10.32177994,39.1517692,1.752557397,-0.518695116,0.003867265,9.959875939,38.83627734,1.76064837,-0.590480804,0.002332489,9.576742112,38.50370534,1.76064837,-0.778559685,0.001087636
1-189081,11872-3702,1-189081,10.51852799,40.15605193,1.911283731,-1.679857969,0.087243997,10.16887131,39.75473904,1.926064491,-1.782376766,0.044080055,9.843850673,39.43804414,1.935755253,-1.782825351,0.022293574
1-189083,10510-9102,1-189083,11.35171616,40.77285853,1.988101721,-2.13374424,0.352684729,11.10728839,40.64592342,2.021224737,-2.366619825,0.215787889,10.85804538,40.46145885,2.031534195,-2.489523888,0.130894127
1-189101,10510-6102,1-189101,11.13139151,40.01390948,1.86561203,-1.718642116,0.028783547,10.85449587,39.75523834,1.936475754,-2.139544487,0.013250063,10.54790541,39.47930373,1.960459709,-2.210378647,0.00670475
1-189134,10510-12701,1-189134,11.23725575,40.810843,2.048497438,-3.164698601,0.186317594,11.05293105,40.66375526,2.0216043,-2.571779251,0.107697119,10.87797602,40.51160574,2.032614231,-2.333852291,0.067117619
1-189145,8995-1902,1-189145,10.74081221,39.55087151,1.961069584,-1.732602,0.029372908,10.32645276,39.18506361,1.978001833,-1.732602,0.012280707,9.836211182,38.73005529,1.969146132,-1.732602,0.004447106
1-189152,11872-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-189197,8995-1901,1-189197,9.919637983,38.85935636,1.866108775,-0.546696723,0.00543407,9.532041417,38.46813098,1.886301279,-0.564241171,0.002247649,9.125470921,38.01550548,1.900932312,-0.781957924,0.000817947
1-189212,10510-3702,1-189212,11.13726245,38.63534203,1.972823262,-1.152205586,0.002157525,10.76958432,38.35507042,1.962155223,-0.490057766,0.000656726,10.41868673,38.05388588,1.965594053,-0.473034501,0.000198077
1-189283,10510-1901,1-189283,9.642593684,39.74873678,2.018420935,-2.010172367,0.018316555,9.044609999,39.06490117,2.055197239,-2.08856225,0.003581504,8.270673752,38.37462279,2.055197239,-2.137108564,0.000819189
1-189376,10510-3704,1-189376,9.646433827,39.73136219,1.690280914,0.598434329,0.044362109,9.318576142,39.49559332,1.707057238,0.483337164,0.027235036,8.972788142,39.21163251,1.708010554,0.497854352,0.014589579
1-1894,10846-6103,1-1894,10.45232804,39.09359851,1.868200302,-0.733696699,0.006855557,10.12498538,38.77945226,1.932147026,-0.951820254,0.003543094,9.712471673,38.35903088,1.936274767,-1.090390086,0.001541274
1-189473,10510-6101,1-189473,10.47229224,39.39728113,1.591911077,1.608960271,0.050354731,10.24257856,39.05884492,1.721197486,0.385662019,0.014381196,9.906635505,38.68559648,1.738933802,0.095133588,0.00529346
1-189495,10510-12705,1-189495,11.1793536,39.55516013,1.773629785,0.533866942,0.117643612,10.91955876,39.44564438,1.836666822,-0.676859379,0.044211782,10.68232159,39.32556882,1.902561307,-1.293651104,0.022002517
