MANGAID,plateifu,identified_mangaid,stellarmass_1.0re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
1-606022,11759-12702,1-606022,10.65945149,39.58987479,1.452919722,4.657560349,0.238192646,10.24477563,39.11071626,1.511991262,3.575283527,0.063814958,9.882881235,38.77514502,1.531506181,3.214170456,0.02480097
1-60604,11866-1902,1-60604,9.058381786,41.64281135,1.340018511,4.780481339,7.882622213,8.905134118,41.42169029,1.346757054,4.879909515,4.952151745,8.565996734,41.02569144,1.370227337,4.68829298,2.026256134
1-606057,10838-1901,1-606057,10.02622228,38.15304319,1.935645938,-1.599864841,0.000526406,9.619026623,37.77800234,1.941406965,-1.607992291,0.000217023,8.6981287,36.9458951,1.971790195,-1.603413463,2.76E-05
1-606079,8150-12705,1-606079,9.3077891,40.60728548,1.294049263,5.966880322,0.521541359,8.881578073,39.93664505,1.290309548,5.741215706,0.153835869,8.436054141,39.4277431,1.299556971,5.287281036,0.052808487
1-606080,11753-12703,1-606080,9.55895334,41.29063781,1.207163453,6.329238892,1.588589738,9.262036162,41.13191432,1.170379281,5.710102558,1.066821581,8.985253065,40.93787733,1.142688274,5.754571438,0.680346198
1-606105,8458-6102,1-606105,9.33081633,38.9506976,1.447784066,4.261857986,0.03198955,8.929020696,38.67931452,1.408140779,5.182703972,0.02359469,8.575446753,38.37978446,1.404639363,5.327952385,0.012956356
1-606121,11753-3703,1-606121,10.60956464,40.01251505,1.37061286,3.439881086,0.452002758,10.3043358,39.74746458,1.53464222,1.936643243,0.121917465,9.966787701,39.46378267,1.605567336,1.668322325,0.043939213
1-606221,10845-12702,1-606221,10.28587672,nan,1.309480548,5.574391842,3.486489078,9.969307057,40.1903978,1.361279249,4.035130024,1.17817407,9.692291184,39.78871446,1.401951671,3.391845465,0.501320502
1-60629,10845-1902,1-60629,10.51215816,38.75316843,1.898590565,-0.724773169,0.00382758,10.11750153,38.37762536,1.934753299,-0.897037625,0.001606145,9.753299377,38.01115248,1.941777468,-0.897037625,0.000694968
1-606422,10843-3702,1-606422,10.47186044,40.91311402,1.541315079,2.217771053,4.087105853,10.16445458,40.49709899,1.67782402,1.267675161,0.878731275,9.7423819,40.03104084,1.717135429,0.967768133,0.223178686
1-606491,10515-6104,1-606491,9.818284256,40.17334617,1.571203947,3.415239811,0.028241884,9.480982817,39.89216151,1.490796804,5.372541428,0.014518775,9.181680699,39.60886297,1.482381105,5.832020283,0.00720415
1-60653,10516-12701,1-60653,10.54845565,40.88837209,1.73186028,0.72153461,0.754854122,10.40481257,40.83784286,1.473851681,1.414079428,0.649829667,10.22625796,40.73159397,1.455301881,1.239850521,0.446764065
1-606620,11866-12704,1-606620,11.39872417,41.40699525,1.884190202,-0.664243221,0.620953163,11.17151304,41.22192404,1.92741549,-1.152977228,0.333465028,11.00385886,41.10629324,1.973620415,-1.650677681,0.190074366
1-606806,11836-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-60689,10516-3701,1-60689,10.04125434,39.92139964,1.605006576,1.033404708,0.203694424,9.694728912,39.46961363,1.701520681,0.138789564,0.045018781,9.369982319,39.1164751,1.724390388,-0.088288739,0.017713291
1-606955,8944-12703,1-606955,10.03192457,nan,1.310120821,5.480285645,nan,9.750991375,39.17010878,1.322739124,4.643318653,0.07411281,9.537129933,38.67619777,1.326237082,4.389554977,0.029871068
1-607059,11836-6104,1-607059,11.05005027,38.60842931,2.029526711,-1.39685607,0.000719842,10.68508923,38.23965387,2.042133093,-1.705952764,0.000228171,10.31985573,37.84950127,2.044991493,-1.751112342,8.22E-05
1-60706,10516-12705,1-60706,8.954212586,40.30086408,1.280918837,4.772640228,0.291891553,8.645241049,39.79819423,1.321861506,4.943415165,0.104793641,8.345447373,39.24297906,1.341058612,4.905592442,0.034207169
1-60707,10516-3704,1-60707,10.12992575,40.11525644,1.795884132,-0.350206375,0.148212386,9.792096207,39.68616016,1.847313285,-0.883551478,0.04636731,9.452947433,39.3193865,1.861302853,-0.964418948,0.021201595
1-60709,10516-6102,1-60709,9.513749193,40.94263528,1.316959858,5.946807861,1.338651815,9.217730825,40.33253493,1.345615625,5.504529476,0.467771353,8.879579196,39.82041273,1.356969833,5.376064301,0.179556394
1-607106,10516-12702,1-607106,11.26435945,40.59974517,1.917649627,-1.349117756,0.092151165,10.95724688,40.26591982,1.929021597,-1.416012645,0.025148592,10.65792375,39.99770318,1.944312811,-1.559074044,0.017055605
1-60713,10516-1901,1-60713,9.711979588,nan,1.453654766,3.801181316,2.383937051,9.602599379,40.24896687,1.464373827,3.363999367,1.644275692,9.347904284,39.88749703,1.457206607,2.88488102,0.80518556
1-60715,10516-3702,1-60715,9.886221465,39.91370233,1.291764379,5.066488266,0.687499877,9.448740737,39.42669034,1.299052715,4.847482681,0.253449616,9.084111499,38.99836754,1.308993697,4.847482681,0.096937956
1-60719,10516-1902,1-60719,9.528699658,40.22353746,1.31556654,4.651134491,0.661587957,9.039500513,39.64350339,1.375320077,4.337155342,0.148492513,8.613086836,39.18586151,1.397143841,4.217569351,0.047837265
1-60723,10516-9101,1-60723,9.600329718,40.00638946,1.639127016,3.341595173,0.553399226,9.378951536,39.83326495,1.380767465,3.745629311,0.492055091,9.176870998,39.67109488,1.273269176,4.117377281,0.383328889
1-607451,10518-12704,1-607451,11.09058243,41.5209055,1.70775497,1.120670676,1.25654737,10.85522986,41.4636329,1.522625089,4.26315403,1.09774128,10.59103169,41.28533314,1.485341072,6.354017735,0.751919183
1-607739,10846-6102,1-607739,10.11567977,38.45000529,1.850327492,-0.931395173,0.000865869,9.63041371,37.91026165,1.863357067,-0.792917728,6.30E-05,9.397733879,37.51003879,1.858513355,-0.792917728,8.56E-06
1-607767,10846-3701,1-607767,9.934213396,39.75678177,1.906824946,-1.621978164,0.008838525,9.509480743,39.4168281,1.932122469,-1.664543509,0.003176446,8.869284997,38.70456113,1.936254501,-1.670817137,0.00135627
1-607814,10846-12702,1-607814,11.33096562,nan,1.943182826,-1.696418405,0.100064441,11.09882299,40.46962765,1.985548735,-2.085532427,0.051359234,10.88110485,40.28155179,2.018794775,-2.383125544,0.037327345
1-607835,10846-9102,1-607835,11.36937799,nan,1.67599535,0.518084288,nan,11.17530707,36.77831842,1.921940088,-1.698727131,2.59E-05,11.01136125,36.72804832,1.937686443,-2.058807373,2.00E-05
1-607996,10518-12705,1-607996,11.26412174,40.45081561,1.360691071,4.708271027,1.791776639,11.00081369,40.03047408,1.467332125,3.167644501,0.4469402,10.79618272,39.81161218,1.629996419,1.074220061,0.145317339
